City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
0,Alamosa,1,US,1579549978,53,37.47,-105.87,36,1.36
1,Mahon,75,ES,1579549897,93,39.89,4.27,55.4,18.34
2,Umm Lajj,0,SA,1579549978,57,25.02,37.27,58.69,6.85
3,Marzuq,0,YE,1579549979,57,14.4,46.47,56.25,2.21
4,Bluff,100,NZ,1579549979,96,-46.6,168.33,57,1.01
5,Butaritari,100,KI,1579549979,69,3.07,172.79,84.51,5.12
6,Pedernales,75,DO,1579549979,62,18.04,-71.74,86,18.34
7,Kapaa,20,US,1579549979,57,22.08,-159.32,77,9.06
8,Bingol,0,TR,1579549903,77,38.88,40.49,20.62,5.23
9,Lagoa,88,PT,1579549794,79,39.05,-27.98,59.79,20.51
10,Mataura,100,NZ,1579549779,96,-46.19,168.86,57,1.99
11,Punta Arenas,90,CL,1579549786,58,-53.15,-70.92,59,11.41
12,Yeniseysk,100,RU,1579549979,94,58.45,92.17,-0.78,10.33
13,Hilo,75,US,1579549773,60,19.73,-155.09,73.4,4.7
14,Grindavik,75,IS,1579549980,67,63.84,-22.43,33.8,29.97
15,Miramar,1,US,1579549980,60,25.99,-80.23,78.01,8.05
16,Ushuaia,40,AR,1579549980,62,-54.8,-68.3,55.4,19.46
17,Vila Franca do Campo,40,PT,1579549786,62,37.72,-25.43,59,12.75
18,Dnipryany,90,UA,1579549980,86,46.75,33.27,32,6.71
19,Bosobolo,3,CD,1579549980,29,4.18,19.9,75.78,1.95
20,Busselton,81,AU,1579549980,51,-33.65,115.33,63,14.52
21,Mahon,75,ES,1579549901,93,39.89,4.27,55.4,18.34
22,Iqaluit,40,CA,1579549980,67,63.75,-68.51,-22,14.99
23,Haapsalu,44,EE,1579549980,91,58.94,23.54,41,14
24,Port Alfred,96,ZA,1579549816,86,-33.59,26.89,63,5.99
25,Cabo San Lucas,5,MX,1579549980,53,22.89,-109.91,82,8.05
26,Ostrovnoy,100,RU,1579549740,90,68.05,39.51,23.05,23.33
27,Benjamin Constant,90,BR,1579549981,88,-4.38,-70.03,87.8,5.82
28,Hobart,75,AU,1579549745,71,-42.88,147.33,57.99,10.29
29,Micheweni,46,TZ,1579549981,85,-4.97,39.83,81.48,19.35
30,Ajdabiya,0,LY,1579549852,58,30.76,20.23,60.19,16.17
31,Hermanus,78,ZA,1579549754,88,-34.42,19.23,70,11.99
32,At-Bashi,76,KG,1579549981,91,41.17,75.81,-2.97,3.15
33,Hualmay,100,PE,1579549981,66,-11.1,-77.61,75.65,8.52
34,Cape Town,20,ZA,1579549774,68,-33.93,18.42,72,10.29
35,Hithadhoo,99,MV,1579549784,79,-0.6,73.08,82.89,11.1
36,Saint-Philippe,100,RE,1579549981,83,-21.36,55.77,80.6,2.24
37,Westerland,9,DE,1579549981,81,54.91,8.3,43,8.99
38,Esperance,67,AU,1579549981,72,-33.87,121.9,60.8,8.05
39,Grand Forks,1,US,1579549982,84,47.93,-97.03,1,10.29
40,New Norfolk,75,AU,1579549982,76,-42.78,147.06,57.99,10.29
41,Barrow,90,US,1579549982,77,71.29,-156.79,-0.4,4.7
42,Faanui,53,PF,1579549982,77,-16.48,-151.75,81.21,14.67
43,Severo-Kuril'sk,100,RU,1579549982,93,50.68,156.12,17.19,5.61
44,Atuona,67,PF,1579549797,73,-9.8,-139.03,80.74,11.72
45,Kirkenaer,100,NO,1579549982,80,60.46,12.06,44.6,12.75
46,La Rioja,20,ES,1579549982,74,42.25,-2.5,33.8,10.29
47,Bambous Virieux,40,MU,1579549982,83,-20.34,57.76,81,3.36
48,Kaeo,0,NZ,1579549982,100,-35.1,173.78,64.99,1.99
49,Mar del Plata,40,AR,1579549982,78,-38,-57.56,71.6,18.34
50,Chokurdakh,100,RU,1579549817,97,70.63,147.92,-15.36,9.08
51,Zeya,100,RU,1579549983,99,53.75,127.27,-21.35,3.58
52,Constitucion,0,CL,1579549983,54,-35.33,-72.42,65.91,8.77
53,Pevek,100,RU,1579549796,97,69.7,170.31,-13.76,9.22
54,Panguipulli,0,CL,1579549983,47,-39.63,-72.33,82,6.93
55,San Patricio,5,MX,1579549983,74,19.22,-104.7,84.2,5.82
56,Nogliki,0,RU,1579549983,93,51.83,143.17,-7.13,4.79
57,Florianopolis,20,BR,1579549588,62,-27.61,-48.5,86,12.75
58,Bredasdorp,100,ZA,1579549983,88,-34.53,20.04,64.99,14.99
59,Chhor,100,PK,1579549983,25,25.52,69.77,60.93,5.64
60,Nsanje,100,MW,1579549983,98,-16.92,35.26,72.99,11.3
61,Atambua,100,ID,1579549983,87,-9.11,124.89,74.84,1.12
62,Vaini,20,TO,1579549984,69,-21.2,-175.2,78.8,11.41
63,Albany,1,US,1579549850,41,42.6,-73.97,23,12.75
64,Yellowknife,40,CA,1579549792,83,62.46,-114.35,-14.01,3.36
65,Soyo,20,AO,1579549984,83,-6.13,12.37,82.4,5.82
66,Urucara,67,BR,1579549984,64,-2.54,-57.76,88.21,2.28
67,Parana,92,AR,1579549984,70,-31.73,-60.52,87.01,7
68,Natal,40,BR,1579549984,70,-5.79,-35.21,84.2,18.34
69,Lebedyan,90,RU,1579549984,91,53.02,39.17,32,13.42
70,Korla,100,CN,1579549670,78,41.76,86.15,24.01,1.9
71,Dikson,0,RU,1579549985,94,73.51,80.55,-25.33,16.46
72,Lebu,0,CL,1579549985,52,-37.62,-73.65,67.33,12.19
73,Little Current,1,CA,1579549985,67,45.98,-81.92,21.99,14.99
74,Rikitea,100,PF,1579549985,76,-23.12,-134.97,77.92,10.2
75,Yulara,0,AU,1579549692,23,-25.24,130.99,84.2,6.93
76,Grand Gaube,40,MU,1579549985,83,-20.01,57.66,81,3.36
77,Mount Gambier,75,AU,1579549985,93,-37.83,140.77,46.4,5.82
78,Morehead,90,US,1579549669,67,37.27,-87.18,23,7.25
79,Bengkulu,98,ID,1579549871,92,-3.8,102.27,73.65,3.33
80,Jojoima,74,SL,1579549986,62,7.88,-10.79,78.35,5.46
81,Narsaq,75,GL,1579549986,53,60.92,-46.05,23,12.75
82,Sorland,75,NO,1579549986,80,67.67,12.69,41,12.75
83,Chabahar,0,IR,1579549986,73,25.29,60.64,65.05,4.12
84,Hasaki,20,JP,1579549638,55,35.73,140.83,35.6,4.7
85,Roebourne,15,AU,1579549986,72,-20.78,117.13,82.36,4.76
86,Nikolskoye,90,RU,1579549986,86,59.7,30.79,37.99,11.18
87,Luderitz,0,NA,1579549816,77,-26.65,15.16,68,8.05
88,Leningradskiy,100,RU,1579549823,92,69.38,178.42,-4.4,16.69
89,Riyadh,0,SA,1579549846,50,24.69,46.72,57.2,4.7
90,Vestmannaeyjar,100,IS,1579549866,69,63.44,-20.27,37.81,32.48
91,Brae,100,GB,1579549986,93,60.4,-1.35,50,35.57
92,Yar-Sale,100,RU,1579549795,98,66.83,70.83,-7.01,7.7
93,Khasan,0,RU,1579549662,78,42.43,130.64,10.04,7.83
94,Jamestown,1,US,1579549878,53,42.1,-79.24,24.8,10.29
95,Lushun,0,CN,1579549987,67,38.8,121.27,17.6,2.24
96,Cherskiy,100,RU,1579549987,98,68.75,161.3,-24.2,5.95
97,Bethel,1,US,1579549987,30,41.37,-73.41,32,14.99
98,Khatanga,25,RU,1579549987,99,71.97,102.5,-31.23,6.62
99,Hofn,20,IS,1579549714,50,64.25,-15.21,33.8,4.7
100,Cartagena,100,CO,1579549987,74,10.4,-75.51,86,11.41
101,Shitanjing,0,CN,1579549987,56,39.23,106.34,19.85,2.53
102,Diapaga,12,BF,1579549987,22,12.07,1.79,77.49,5.48
103,Hong Kong,20,HK,1579549987,82,22.29,114.16,64,9.17
104,Lachhmangarh,100,IN,1579549988,39,27.82,75.03,54.52,7.31
105,Baykit,65,RU,1579549988,97,61.67,96.37,-25.26,2.91
106,Ilulissat,75,GL,1579549874,55,69.22,-51.1,8.6,29.97
107,Geraldton,90,AU,1579549786,73,-28.77,114.6,69.8,21.92
108,Okhotsk,0,RU,1579549988,68,59.38,143.3,-19.8,7.18
109,Thompson,75,CA,1579549828,71,55.74,-97.86,8.6,12.75
110,Puerto Escondido,40,MX,1579549893,70,15.85,-97.07,86,4.94
111,The Valley,20,AI,1579549988,78,18.22,-63.06,82.4,16.11
112,San Cristobal,40,VE,1579549792,49,7.77,-72.22,89.6,5.82
113,East London,78,ZA,1579549988,78,-33.02,27.91,70.2,18.28
114,Gachsaran,0,IR,1579549848,87,30.36,50.8,46.4,1.72
115,Kunda,100,IN,1579549988,52,25.72,81.52,51.37,1.12
116,Sao Joao da Barra,90,BR,1579549779,94,-21.64,-41.05,73.4,10.94
117,Pierre,1,US,1579549898,60,44.37,-100.35,10.4,11.41
118,Havre-Saint-Pierre,20,CA,1579549989,46,50.23,-63.6,8.6,6.93
119,Norman Wells,20,CA,1579549989,75,65.28,-126.83,-16.6,3.36
120,Yazman,31,PK,1579549989,43,29.12,71.74,57.56,3
121,Abbeville,0,FR,1579549854,93,50.1,1.83,41,4.97
122,Lucknow,20,IN,1579549948,100,26.85,80.92,50,3.74
123,Bilibino,100,RU,1579549678,98,68.05,166.44,-28.08,3.33
124,Nouadhibou,0,MR,1579549989,56,20.93,-17.03,69.8,12.75
125,Lavrentiya,100,RU,1579549989,95,65.58,-171,6.39,6.29
126,Tuktoyaktuk,20,CA,1579549989,74,69.45,-133.04,-23.8,6.93
127,Port Hedland,16,AU,1579549680,74,-20.32,118.57,82.4,8.05
